Name,Location,Year,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine(CC),Power(bhp),Seats,Price
BMW 3 Series 320d,Hyderabad,2010,14,105000,Diesel,Automatic,Second,13.2,1995.0,170.0,5.0,11.0
BMW 5 Series 2010-2013 525i,Hyderabad,2008,16,61000,Petrol,Automatic,Second,10.8,2497.0,215.0,5.0,11.0
Nissan Micra XE,Pune,2010,14,85046,Petrol,Manual,Second,18.06,1198.0,75.0,5.0,2.3
Jaguar XF 2.2 Litre Luxury,Delhi,2014,10,48000,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,26.5
Land Rover Range Rover TDV8 (Diesel),Bangalore,2011,13,55000,Diesel,Automatic,First,10.2,4367.0,308.0,7.0,67.0
Jeep Compass 1.4 Limited Option,Mumbai,2017,7,4000,Petrol,Automatic,First,16.0,1368.0,160.0,5.0,17.75
Honda CR-V 2.4 AT,Delhi,2010,14,94000,Petrol,Automatic,Second,10.1,2354.0,152.0,5.0,4.8
Maruti Swift VXI,Coimbatore,2013,11,61110,Petrol,Manual,First,18.6,1197.0,85.8,5.0,4.57
Hyundai Xcent 1.1 CRDi S,Chennai,2016,8,80000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.5
Nissan Terrano XV Premium 110 PS,Kochi,2015,9,43190,Diesel,Manual,First,19.01,1461.0,108.5,5.0,7.61
Audi A4 35 TDI Technology,Hyderabad,2015,9,45000,Diesel,Automatic,First,18.25,1968.0,187.74,5.0,25.0
Hyundai Grand i10 Asta Option,Coimbatore,2016,8,44178,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.88
Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2015,9,84415,Diesel,Manual,First,12.99,2494.0,100.6,8.0,13.5
Hyundai i20 1.2 Magna,Kolkata,2015,9,35000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,4.6
Ford EcoSport 1.5 TDCi Titanium,Kolkata,2013,11,44000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,4.9
Honda City 1.5 S MT,Hyderabad,2012,12,67635,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.25
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,6,18385,Petrol,Automatic,First,14.8,1497.0,121.36,5.0,12.41
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2014,10,35000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.8
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mumbai,2010,14,49000,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,8.95
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2013,11,69000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.2
Tata Indigo GLE,Hyderabad,2017,7,23228,Petrol,Manual,First,14.4,1396.0,65.0,5.0,4.5
Maruti Swift Dzire LDI,Delhi,2014,10,68462,Diesel,Manual,First,26.59,1248.0,74.0,5.0,4.15
Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,8,74611,Diesel,Manual,First,25.1,1248.0,88.5,5.0,7.94
Renault Duster 110PS Diesel RxZ Pack,Pune,2014,10,90000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.25
Maruti Wagon R VXI,Delhi,2016,8,22000,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.7
Hyundai Santro Xing GL,Hyderabad,2010,14,58163,Petrol,Manual,First,0.0,1086.0,62.0,5.0,2.45
Chevrolet Beat Diesel LT,Chennai,2011,13,109500,Diesel,Manual,Third,25.44,936.0,57.6,5.0,1.5
Mahindra XUV500 W4 1.99 mHawk,Delhi,2017,7,13363,Diesel,Manual,First,16.0,1997.0,140.0,7.0,12.0
Hyundai i10 Era 1.1,Delhi,2012,12,51000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.2
Tata New Safari DICOR 2.2 EX 4x4,Hyderabad,2007,17,103000,Diesel,Manual,First,13.93,2179.0,138.0,7.0,3.6
Hyundai i10 Sportz,Kolkata,2009,15,43002,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1.92
Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,8,108000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,20.5
Skoda Laura Elegance MT,Jaipur,2010,14,82407,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.25
Hyundai Grand i10 Sportz,Kolkata,2013,11,29000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.2
Toyota Etios Liva GD,Pune,2012,12,225000,Diesel,Manual,Second,23.59,1364.0,null,5.0,2.6
Maruti Swift Dzire VDI,Kolkata,2014,10,45000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,3.85
Hyundai i20 Asta 1.4 CRDi (Diesel),Kochi,2010,14,93401,Diesel,Manual,First,23.0,1396.0,90.0,5.0,3.48
Ford Figo 2015-2019 1.5D Trend MT,Hyderabad,2017,7,95802,Diesel,Manual,Second,25.83,1498.0,99.0,5.0,4.55
Maruti Ertiga VDI,Pune,2016,8,130000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,7.0
Maruti Ertiga ZDI,Ahmedabad,2013,11,67443,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.75
Honda City 1.5 V AT Sunroof,Kochi,2016,8,47681,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,8.73
Maruti Alto LXi BSIII,Hyderabad,2009,15,35000,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.7
Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,2016,8,68000,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,29.5
Maruti Vitara Brezza ZDi Plus,Kochi,2019,5,34688,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10.49
Porsche Boxster S tiptronic,Kolkata,2015,9,10512,Petrol,Automatic,First,8.6,2706.0,265.0,2.0,64.0
Maruti Swift ZDi,Pune,2016,8,58000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7.55
Tata Zest Revotron 1.2 XT,Mumbai,2014,10,40000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,3.95
Hyundai i20 1.2 Sportz Option,Bangalore,2010,14,61000,Petrol,Manual,Fourth & Above,17.0,1197.0,80.0,5.0,3.25
Skoda Fabia 1.4 TDI Active,Mumbai,2009,15,86000,Diesel,Manual,First,19.4,1422.0,70.0,5.0,2.75
Toyota Corolla Altis D-4D J,Kolkata,2015,9,45000,Diesel,Manual,First,21.43,1364.0,87.2,5.0,7.35
Volkswagen Ameo 1.2 MPI Comfortline,Ahmedabad,2017,7,55000,Petrol,Manual,First,17.0,1198.0,73.75,5.0,4.7
Hyundai Creta 1.6 VTVT S,Kochi,2016,8,36855,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.77
Hyundai i10 Magna 1.2,Kochi,2013,11,46821,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.42
Chevrolet Beat LS,Kolkata,2015,9,120000,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.5
Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,2012,12,29000,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,20.0
Nissan Terrano XL,Mumbai,2014,10,40000,Petrol,Manual,First,13.24,1598.0,102.5,5.0,5.25
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Delhi,2013,11,60000,Diesel,Automatic,Second,15.73,1968.0,174.33,5.0,14.5
Hyundai i10 Asta AT,Mumbai,2011,13,64984,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.45
Maruti Alto K10 VXI AGS,Pune,2015,9,73204,Petrol,Automatic,First,24.07,998.0,67.1,5.0,3.3
Audi Q7 4.2 TDI Quattro Technology,Bangalore,2014,10,50000,Diesel,Automatic,First,11.33,4134.0,335.2,7.0,51.0
Maruti Vitara Brezza VDi,Kolkata,2017,7,35000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,6.5
Hyundai EON D Lite Plus,Hyderabad,2013,11,17729,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.65
Mahindra XUV300 W8 Diesel,Chennai,2012,12,97000,Diesel,Manual,First,20.0,1497.0,115.0,5.0,7.25
Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,10,89614,Diesel,Manual,First,22.0,1582.0,126.2,5.0,6.01
Maruti Wagon R VXI,Kolkata,2015,9,14000,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.8
Hyundai i20 Sportz Option,Chennai,2012,12,50000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4.0
Honda City i VTEC V,Delhi,2014,10,62505,Petrol,Manual,First,17.4,1497.0,117.3,5.0,5.95
Toyota Innova 2.5 V Diesel 7-seater,Chennai,2011,13,248000,Diesel,Manual,Second,12.8,2494.0,102.0,7.0,9.2
Hyundai Verna CRDi SX,Pune,2012,12,94900,Diesel,Manual,First,16.8,1493.0,110.0,5.0,5.35
Tata Hexa XT,Delhi,2017,7,55000,Diesel,Manual,First,17.6,2179.0,153.86,7.0,12.0
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,9,53735,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,38.94
Maruti Wagon R VXI,Coimbatore,2008,16,53934,Petrol,Manual,Second,18.9,998.0,67.1,5.0,2.69
BMW 5 Series 2013-2017 525d Luxury Line,Bangalore,2013,11,58500,Diesel,Automatic,Second,17.09,1995.0,218.0,5.0,27.5
Honda Amaze EX i-Vtech,Kolkata,2014,10,48000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,2.75
Maruti Alto 800 2016-2019 LXI,Mumbai,2016,8,24000,Petrol,Manual,First,24.7,796.0,47.3,5.0,2.8
Hyundai Verna 1.6 SX VTVT,Mumbai,2016,8,52001,Petrol,Manual,First,17.01,1591.0,121.3,5.0,6.45
Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,6,9565,Petrol,Manual,First,23.84,1199.0,84.0,5.0,5.88
Maruti Swift LXI,Pune,2013,11,32953,Petrol,Manual,First,18.6,1197.0,85.8,5.0,4.65
Hyundai EON Era,Jaipur,2014,10,18000,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.5
Mercedes-Benz E-Class E 220 d,Kochi,2018,6,20446,Petrol,Automatic,First,12.6,1950.0,191.34,5.0,51.35
Hyundai i20 Magna 1.4 CRDi,Hyderabad,2016,8,33016,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.85
Toyota Etios VD,Chennai,2012,12,48000,Diesel,Manual,First,23.59,1364.0,67.05,5.0,5.25
Toyota Corolla Altis Diesel D4DG,Coimbatore,2014,10,72022,Diesel,Manual,First,21.43,1364.0,87.2,5.0,9.23
Mini Cooper 5 DOOR D,Ahmedabad,2014,10,34000,Diesel,Automatic,First,20.7,1496.0,113.98,5.0,22.0
Volkswagen Polo 1.5 TDI Highline,Hyderabad,2014,10,69000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,5.19
Skoda Superb Elegance 1.8 TSI AT,Pune,2009,15,108000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,4.35
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,2013,11,34700,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,24.5
Maruti Swift VDi BSIII W/ ABS,Pune,2015,9,79000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,5.75
Honda City i VTEC CVT VX,Kochi,2016,8,58197,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.19
BMW 7 Series 2007-2012 740Li,Pune,2008,16,66000,Petrol,Automatic,Second,8.45,2979.0,321.0,5.0,10.75
Hyundai i10 Magna AT,Bangalore,2009,15,60000,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,2.99
Maruti Swift Dzire VDI,Kolkata,2014,10,57000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,3.89
Honda City i DTec VX,Coimbatore,2018,6,45555,Diesel,Manual,First,26.0,1498.0,98.6,5.0,11.73
Maruti Omni 8 Seater BSIV,Coimbatore,2016,8,55137,Petrol,Manual,First,14.0,796.0,35.0,5.0,3.11
Skoda Superb 2009-2014 Elegance 2.0 TDI MT,Jaipur,2014,10,93325,Diesel,Manual,Second,17.2,1968.0,138.1,5.0,14.45
Maruti Ertiga SHVS VDI,Ahmedabad,2018,6,38000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.7
Hyundai Grand i10 CRDi Magna,Kochi,2016,8,57738,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5.04
Maruti Ciaz VDi Plus SHVS,Jaipur,2017,7,38282,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.5
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,2014,10,64000,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,15.65
Fiat Avventura MULTIJET Emotion,Mumbai,2015,9,32000,Diesel,Manual,First,20.5,1248.0,91.72,5.0,5.65
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Bangalore,2010,14,83000,Petrol,Automatic,First,10.93,2497.0,204.0,5.0,16.5
Maruti Zen Estilo LXI Green (CNG),Ahmedabad,2011,13,76000,CNG,Manual,First,33.94,998.0,67.1,5.0,2.0
Volkswagen Vento Petrol Highline,Pune,2012,12,67200,Petrol,Manual,First,15.04,1598.0,103.6,5.0,3.9
BMW 3 Series 320d Luxury Line,Jaipur,2013,11,62655,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,14.5
BMW 5 Series 2013-2017 530d M Sport,Bangalore,2015,9,16900,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,44.0
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,7,8471,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.0
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,8,69000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.75
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,7,30090,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.44
Tata Indica Vista Aura 1.3 Quadrajet,Chennai,2011,13,120000,Diesel,Manual,First,18.0,1248.0,75.0,5.0,1.75
Maruti Swift VDI BSIV,Bangalore,2013,11,23000,Diesel,Manual,First,17.8,1248.0,null,5.0,5.6
Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,2016,8,35939,Petrol,Manual,First,12.3,1796.0,185.0,5.0,30.42
Mahindra XUV500 W8 4WD,Coimbatore,2013,11,116694,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.57
Mahindra Bolero ZLX,Mumbai,2016,8,40448,Diesel,Manual,First,15.96,2523.0,62.1,7.0,3.5
Maruti Vitara Brezza ZDi,Coimbatore,2018,6,64456,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10.46
Fiat Avventura MULTIJET Emotion,Pune,2014,10,52782,Diesel,Manual,First,20.5,1248.0,91.72,5.0,4.85
Honda Amaze S Petrol,Kochi,2016,8,51672,Petrol,Manual,First,19.5,1199.0,88.76,5.0,5.68
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2015,9,56073,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,13.25
Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,2011,13,65000,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,16.0
Maruti Wagon R VXI BSIII,Chennai,2013,11,79000,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.0
Hyundai Santro Xing XL eRLX Euro III,Kolkata,2007,17,43206,Petrol,Manual,First,17.0,1086.0,null,5.0,0.99
Toyota Corolla Altis VL,Mumbai,2010,14,70200,Petrol,Automatic,First,14.53,1798.0,138.1,5.0,5.0
Maruti Swift VXi BSIV,Delhi,2016,8,42000,Petrol,Manual,First,16.1,1197.0,85.0,5.0,4.75
Volkswagen Polo 1.2 MPI Highline,Bangalore,2014,10,62000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,5.35
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,7,20000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.98
Maruti SX4 ZDI,Chennai,2011,13,80000,Diesel,Manual,Third,21.5,1248.0,88.8,5.0,3.5
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,6,50234,Petrol,Manual,First,18.9,1197.0,81.86,5.0,4.77
Maruti Baleno Delta 1.2,Delhi,2016,8,50003,Petrol,Manual,First,21.4,1197.0,83.1,5.0,5.45
Tata Tigor 1.2 Revotron XTA,Ahmedabad,2018,6,1000,Petrol,Automatic,First,20.3,1199.0,84.0,5.0,6.85
Maruti Swift Dzire AMT ZDI,Jaipur,2016,8,54897,Diesel,Automatic,First,26.59,1248.0,74.0,5.0,7.3
Tata Indica GLS BS IV,Pune,2007,17,108995,Petrol,Manual,First,15.3,1193.0,65.3,5.0,1.25
Maruti SX4 S Cross DDiS 320 Zeta,Chennai,2015,9,73000,Diesel,Manual,First,22.7,1598.0,118.0,5.0,8.25
Maruti Swift VXI BSIII,Ahmedabad,2008,16,65000,Petrol,Manual,First,16.1,1298.0,88.2,5.0,2.71
Hyundai Xcent 1.2 Kappa SX,Kolkata,2016,8,32000,Petrol,Manual,First,19.1,1197.0,82.0,5.0,3.6
Hyundai i20 1.2 Magna,Ahmedabad,2010,14,65000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,3.0
Maruti Celerio VXI AT,Hyderabad,2016,8,21600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.65
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mumbai,2010,14,39000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,9.5
Maruti Swift Dzire VXi,Mumbai,2011,13,58075,Petrol,Manual,First,17.5,1298.0,85.8,5.0,2.95
Volkswagen Vento Petrol Trendline,Mumbai,2011,13,58000,Petrol,Manual,First,15.04,1598.0,103.6,5.0,3.0
Maruti Swift ZDi,Hyderabad,2015,9,58000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.95
Toyota Corolla Altis VL,Delhi,2008,16,89000,Petrol,Automatic,First,14.53,1798.0,138.1,5.0,4.0
Honda Civic 2006-2010 1.8 V MT,Delhi,2008,16,72000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,2.5
Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,2017,7,1800,Petrol,Automatic,First,16.05,1499.0,110.4,5.0,11.37
Fiat Linea Emotion Pack (Diesel),Pune,2010,14,172050,Diesel,Manual,Second,19.0,1248.0,93.0,5.0,2.25
Hyundai i10 Era,Jaipur,2013,11,46230,Petrol,Manual,First,19.81,1086.0,68.05,5.0,3.1
Volvo XC60 D5 Inscription,Kochi,2014,10,86925,Diesel,Automatic,First,11.2,2400.0,215.0,5.0,17.18
Hyundai i20 1.2 Asta,Jaipur,2018,6,5000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.5
Honda City i DTEC S,Ahmedabad,2014,10,66000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,5.7
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,2013,11,119000,Diesel,Manual,First,12.99,2494.0,100.0,8.0,8.0
Renault KWID RXT,Chennai,2016,8,45000,Petrol,Manual,First,25.17,799.0,53.3,5.0,2.6
Maruti A-Star Vxi,Hyderabad,2009,15,66149,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.45
Mercedes-Benz B Class B180,Kochi,2014,10,42070,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.57
Maruti Wagon R LXI BS IV,Kolkata,2012,12,35503,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.3
Maruti Swift VDI BSIV,Jaipur,2016,8,41460,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.9
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,9,40600,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,7.2
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,11,87000,Diesel,Automatic,First,22.0,1582.0,126.2,5.0,5.9
Honda City V MT,Chennai,2014,10,30000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,6.0
Hyundai i10 Magna Optional 1.1L,Kolkata,2010,14,27089,Petrol,Manual,First,16.0,1086.0,66.7,5.0,1.95
Toyota Etios GD SP,Coimbatore,2016,8,53702,Diesel,Manual,First,23.59,1364.0,67.04,5.0,6.55
Volvo S60 D4 Momentum,Hyderabad,2015,9,51000,Diesel,Automatic,First,27.03,1969.0,190.0,5.0,25.0
Ford Figo Diesel EXI,Kolkata,2012,12,36542,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.65
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,2017,7,15000,Diesel,Automatic,First,13.0,2987.0,265.0,5.0,69.5
BMW 3 Series 320d Luxury Line,Chennai,2012,12,65000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,14.0
Maruti Alto 800 VXI,Pune,2014,10,32000,Petrol,Manual,Second,22.74,796.0,47.3,5.0,2.1
Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,7,24393,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20.4
Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,5,1000,Petrol,Manual,First,18.78,999.0,75.0,5.0,5.68
Nissan Terrano XL,Mumbai,2014,10,28238,Petrol,Manual,First,13.24,1598.0,102.5,5.0,5.55
Mitsubishi Pajero Sport 4X4,Mumbai,2013,11,59000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,12.75
Honda Civic 2010-2013 1.8 S MT,Mumbai,2012,12,92000,Petrol,Manual,Second,14.8,1799.0,130.2,5.0,3.35
Maruti Alto 800 LXI,Kolkata,2013,11,56840,Petrol,Manual,First,22.74,796.0,47.3,5.0,1.55
Volkswagen Vento Diesel Highline,Coimbatore,2013,11,62746,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,5.9
Land Rover Freelander 2 HSE,Hyderabad,2012,12,96000,Diesel,Automatic,First,12.35,2179.0,187.74,5.0,18.98
Honda CR-V 2.0L 2WD MT,Mumbai,2014,10,24000,Petrol,Manual,First,13.7,1997.0,153.86,5.0,11.51
Maruti Ertiga VDI,Mumbai,2016,8,54000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,7.75
Toyota Innova 2.5 GX (Diesel) 7 Seater,Chennai,2016,8,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,13.9
Tata Manza Aura Safire,Kolkata,2010,14,40000,Petrol,Manual,First,15.0,1368.0,90.0,5.0,1.35
Audi Q7 35 TDI Quattro Premium Plus,Mumbai,2015,9,65938,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,38.0
Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,2017,7,16100,Petrol,Automatic,First,17.1,1591.0,121.4,5.0,11.6
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,2017,7,3600,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,12.25
Honda City 1.5 S MT,Jaipur,2011,13,52000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,3.8
Ford Figo Diesel Titanium,Mumbai,2014,10,54000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3.25
Honda Jazz 1.2 VX i VTEC,Mumbai,2016,8,15399,Petrol,Manual,First,18.7,1199.0,88.7,5.0,6.4
Volkswagen Polo Petrol Highline 1.2L,Bangalore,2012,12,75000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,3.95
Honda City i-VTEC S,Delhi,2010,14,76752,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.57
Honda City ZX GXi,Mumbai,2005,19,56000,Petrol,Manual,Second,17.7,1497.0,78.0,5.0,1.25
Maruti Wagon R LXI CNG,Pune,2015,9,70000,CNG,Manual,First,33.81,998.0,58.2,5.0,3.65
Honda CR-V 2.4L 4WD AT AVN,Kolkata,2013,11,46125,Petrol,Automatic,Second,12.0,2354.0,187.4,5.0,12.5
BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,2014,10,35000,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,23.0
Ambassador Classic Nova Diesel,Chennai,2003,21,80000,Diesel,Manual,Third,12.8,1489.0,35.5,5.0,1.35
Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,2012,12,62729,Diesel,Manual,First,12.05,2179.0,120.0,8.0,6.32
Volkswagen Vento Diesel Comfortline,Kolkata,2012,12,34000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.4
Maruti Zen VX,Jaipur,1999,25,70000,Petrol,Manual,Second,17.3,993.0,60.0,5.0,0.77
Maruti 800 DX BSII,Jaipur,2009,15,32000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.9
Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,7,21000,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,18.0
BMW 3 Series 328i Sport Line,Pune,2013,11,49000,Petrol,Automatic,First,14.59,1997.0,245.0,5.0,19.0
Ford Ikon 1.3 Flair,Chennai,2007,17,40000,Petrol,Manual,Third,13.8,1299.0,70.0,5.0,1.1
Chevrolet Beat LT,Pune,2012,12,78000,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,2.0
Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,12,52000,Diesel,Manual,First,21.43,1364.0,86.79,5.0,6.5
Mahindra XUV500 W4,Bangalore,2014,10,65213,Diesel,Manual,First,16.0,2179.0,140.0,7.0,9.45
Hyundai Xcent 1.1 CRDi Base,Mumbai,2016,8,170000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,4.0
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,2017,7,36884,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,32.25
Hyundai i10 Sportz,Pune,2009,15,62500,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.1
Toyota Corolla Altis VL AT,Mumbai,2015,9,68000,Petrol,Automatic,Second,14.28,1798.0,138.03,5.0,9.75
Toyota Corolla 1.8 J,Kolkata,2014,10,40748,Petrol,Manual,First,14.53,1798.0,138.0,5.0,6.3
Audi Q3 2.0 TDI Quattro,Hyderabad,2013,11,60000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,21.0
Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,2014,10,12400,Diesel,Manual,First,21.9,1396.0,88.8,5.0,4.65
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mumbai,2013,11,87000,Diesel,Automatic,Second,19.27,2143.0,167.62,5.0,17.0
Maruti Ritz VDi,Pune,2013,11,20248,Diesel,Manual,First,21.1,1248.0,73.9,5.0,4.35
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,7,52383,Diesel,Manual,First,19.67,1582.0,126.2,5.0,14.82
Jaguar XE 2.0L Diesel Prestige,Delhi,2018,6,1000,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,40.0
Mahindra Xylo D4,Chennai,2016,8,85000,Diesel,Manual,First,14.95,2489.0,93.7,7.0,6.15
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2014,10,47000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.25
Toyota Camry 2.5 Hybrid,Pune,2018,6,17585,Petrol,Automatic,First,19.16,2494.0,157.7,5.0,32.0
Audi Q5 3.0 TDI Quattro,Coimbatore,2018,6,32496,Diesel,Automatic,First,13.22,2967.0,241.4,5.0,45.62
Maruti Swift VDI,Kochi,2017,7,34613,Diesel,Manual,First,28.4,1248.0,74.0,5.0,6.24
Maruti Ertiga VDI Limited Edition,Chennai,2015,9,153000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,4.8
